"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Eastern Mediterranean","Afghanistan","Both sexes","6.0 [3.5-9.9]","6.01000","3.48000","9.93000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Eastern Mediterranean","Afghanistan","Both sexes","6.0 [3.5-9.9]","5.99000","3.48000","9.88000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Eastern Mediterranean","Afghanistan","Female","6.6 [3.9-10.5]","6.59000","3.87000","10.50750","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Eastern Mediterranean","Afghanistan","Both sexes","7.9 [4.5-12.8]","7.85000","4.53000","12.78460","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Eastern Mediterranean","Afghanistan","Male","6.3 [3.7-10.7]","6.34000","3.67000","10.65260","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Eastern Mediterranean","Afghanistan","Both sexes","5.9 [3.4-9.8]","5.91000","3.38000","9.81000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Eastern Mediterranean","Afghanistan","Male","7.6 [4.4-12.5]","7.62000","4.36000","12.52290","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Eastern Mediterranean","Afghanistan","Female","6.9 [4.0-11.0]","6.89000","4.04000","11.02290","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Eastern Mediterranean","Afghanistan","Both sexes","7.6 [4.4-12.3]","7.64000","4.44000","12.34830","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Eastern Mediterranean","Afghanistan","Male","6.3 [3.7-10.5]","6.29000","3.68000","10.53580","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Eastern Mediterranean","Afghanistan","Male","7.9 [4.5-12.9]","7.86000","4.54000","12.90900","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Eastern Mediterranean","Afghanistan","Both sexes","6.0 [3.4-9.9]","5.95000","3.42000","9.88000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Eastern Mediterranean","Afghanistan","Male","6.4 [3.7-10.5]","6.35000","3.71000","10.52190","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Eastern Mediterranean","Afghanistan","Female","6.2 [3.7-10.1]","6.24000","3.66000","10.07550","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Eastern Mediterranean","Afghanistan","Male","6.9 [4.0-11.3]","6.85000","3.99000","11.32350","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Eastern Mediterranean","Afghanistan","Male","6.2 [3.5-10.5]","6.19000","3.53000","10.47410","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Eastern Mediterranean","Afghanistan","Male","7.8 [4.5-12.7]","7.75000","4.50000","12.71380","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Eastern Mediterranean","Afghanistan","Both sexes","7.2 [4.2-11.7]","7.17000","4.18000","11.65210","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Eastern Mediterranean","Afghanistan","Female","6.0 [3.5-9.8]","6.00000","3.49000","9.76000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Eastern Mediterranean","Afghanistan","Female","5.7 [3.2-9.2]","5.67000","3.24000","9.24000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Eastern Mediterranean","Afghanistan","Both sexes","6.0 [3.4-9.9]","5.96000","3.40000","9.91000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Eastern Mediterranean","Afghanistan","Both sexes","6.0 [3.5-9.9]","6.02000","3.50000","9.93000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Eastern Mediterranean","Afghanistan","Female","5.8 [3.3-9.4]","5.78000","3.33000","9.43000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Eastern Mediterranean","Afghanistan","Female","5.9 [3.4-9.5]","5.88000","3.40000","9.52000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Eastern Mediterranean","Afghanistan","Female","5.5 [3.1-9.0]","5.50000","3.14000","8.98000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Eastern Mediterranean","Afghanistan","Male","7.8 [4.5-12.7]","7.78000","4.51000","12.71180","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Eastern Mediterranean","Afghanistan","Male","7.0 [4.1-11.6]","7.03000","4.11000","11.62330","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Eastern Mediterranean","Afghanistan","Both sexes","7.9 [4.5-12.8]","7.89000","4.54000","12.77250","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Eastern Mediterranean","Afghanistan","Male","7.9 [4.5-12.9]","7.85000","4.47000","12.88990","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Eastern Mediterranean","Afghanistan","Male","7.7 [4.5-12.6]","7.66000","4.45000","12.62810","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Eastern Mediterranean","Afghanistan","Male","7.8 [4.5-12.8]","7.78000","4.47000","12.76950","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Eastern Mediterranean","Afghanistan","Female","7.7 [4.5-12.4]","7.69000","4.48000","12.35520","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Eastern Mediterranean","Afghanistan","Both sexes","7.7 [4.4-12.5]","7.71000","4.44000","12.48170","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Eastern Mediterranean","Afghanistan","Female","7.6 [4.4-12.2]","7.62000","4.44000","12.16720","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Eastern Mediterranean","Afghanistan","Both sexes","6.4 [3.8-10.5]","6.42000","3.76000","10.52720","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Eastern Mediterranean","Afghanistan","Female","5.6 [3.2-9.1]","5.57000","3.17000","9.08000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Eastern Mediterranean","Afghanistan","Both sexes","6.2 [3.6-10.2]","6.17000","3.60000","10.20040","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Eastern Mediterranean","Afghanistan","Male","6.1 [3.6-10.2]","6.11000","3.57000","10.24270","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Eastern Mediterranean","Afghanistan","Female","6.4 [3.8-10.3]","6.44000","3.76000","10.31900","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Eastern Mediterranean","Afghanistan","Both sexes","6.7 [3.9-10.9]","6.67000","3.89000","10.86930","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Eastern Mediterranean","Afghanistan","Female","5.8 [3.3-9.5]","5.83000","3.33000","9.50000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Eastern Mediterranean","Afghanistan","Both sexes","7.8 [4.5-12.6]","7.77000","4.51000","12.59240","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Eastern Mediterranean","Afghanistan","Both sexes","7.4 [4.3-12.1]","7.42000","4.33000","12.06150","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Africa","Angola","Male","24.1 [15.4-35.8]","24.10100","15.42880","35.76550","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Africa","Angola","Female","6.1 [3.7-9.5]","6.09000","3.70000","9.47000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Africa","Angola","Female","5.6 [3.4-8.7]","5.61000","3.41000","8.69000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Africa","Angola","Both sexes","14.2 [9.1-21.3]","14.21110","9.07000","21.25800","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Africa","Angola","Male","23.0 [14.7-34.1]","22.99090","14.73860","34.14270","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Africa","Angola","Both sexes","12.4 [7.6-18.9]","12.36400","7.64000","18.93120","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Africa","Angola","Female","6.2 [3.6-9.9]","6.16000","3.60000","9.88000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Africa","Angola","Male","21.7 [13.5-33.2]","21.70530","13.47960","33.22730","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Africa","Angola","Female","5.1 [3.0-8.0]","5.06000","3.01000","7.95000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Africa","Angola","Male","21.0 [13.2-31.9]","21.03730","13.17170","31.86030","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Africa","Angola","Female","6.8 [4.1-10.6]","6.80000","4.09000","10.59170","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Africa","Angola","Male","29.0 [18.1-43.7]","28.96480","18.09930","43.66370","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Africa","Angola","Both sexes","17.6 [10.5-27.0]","17.55540","10.54080","26.96780","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Africa","Angola","Male","21.8 [13.7-32.9]","21.83700","13.74640","32.88730","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Africa","Angola","Both sexes","15.3 [9.7-23.0]","15.27360","9.65000","22.97100","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Africa","Angola","Both sexes","13.6 [8.7-20.5]","13.64600","8.66000","20.47220","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Africa","Angola","Both sexes","13.5 [8.6-20.2]","13.48980","8.56000","20.15490","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Africa","Angola","Both sexes","14.2 [9.0-21.2]","14.15600","8.95000","21.22010","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Africa","Angola","Both sexes","14.2 [9.0-21.2]","14.16050","8.95000","21.23350","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Africa","Angola","Female","4.9 [2.9-7.7]","4.86000","2.87000","7.71000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Africa","Angola","Female","6.5 [3.9-10.1]","6.49000","3.93000","10.08070","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Africa","Angola","Female","6.9 [4.1-10.7]","6.87000","4.09000","10.74100","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Africa","Angola","Female","6.5 [3.9-10.3]","6.49000","3.85000","10.30480","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Africa","Angola","Female","4.8 [2.9-7.6]","4.84000","2.89000","7.55000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Africa","Angola","Both sexes","17.1 [10.8-25.6]","17.06350","10.80320","25.60520","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Africa","Angola","Male","29.8 [18.2-45.1]","29.79920","18.19470","45.13940","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Africa","Angola","Male","28.4 [18.2-42.2]","28.42050","18.21260","42.21260","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Africa","Angola","Male","29.1 [18.2-43.8]","29.05580","18.22250","43.79940","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Africa","Angola","Both sexes","12.9 [8.0-19.6]","12.87090","8.00000","19.60400","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Africa","Angola","Female","4.6 [2.7-7.4]","4.64000","2.73000","7.37000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Africa","Angola","Male","30.0 [18.1-45.5]","29.95950","18.11930","45.52700","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Africa","Angola","Male","21.3 [13.2-32.5]","21.28050","13.20720","32.48760","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Africa","Angola","Both sexes","17.5 [10.6-26.7]","17.45930","10.58430","26.74630","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Africa","Angola","Both sexes","17.2 [10.8-25.9]","17.19370","10.78760","25.86080","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Africa","Angola","Female","4.7 [2.7-7.5]","4.68000","2.74000","7.49000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Africa","Angola","Both sexes","15.0 [9.5-22.6]","15.02300","9.54000","22.64840","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Africa","Angola","Both sexes","12.4 [7.6-19.0]","12.35110","7.58000","19.04540","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Africa","Angola","Female","6.1 [3.6-9.8]","6.13000","3.61000","9.80000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Africa","Angola","Female","5.4 [3.3-8.3]","5.35000","3.26000","8.32000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Africa","Angola","Male","27.1 [17.3-40.3]","27.08560","17.31430","40.28090","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Africa","Angola","Both sexes","12.6 [7.7-19.4]","12.55460","7.70000","19.42670","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Africa","Angola","Male","24.3 [15.5-36.0]","24.27250","15.50680","35.99130","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Africa","Angola","Both sexes","16.3 [10.3-24.4]","16.26430","10.28040","24.42550","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Africa","Angola","Male","22.6 [14.4-33.7]","22.61720","14.41310","33.69160","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Africa","Angola","Male","28.6 [18.1-42.6]","28.61130","18.13920","42.60780","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Africa","Angola","Female","5.2 [3.2-8.1]","5.24000","3.18000","8.14000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Africa","Angola","Male","25.5 [16.3-38.0]","25.51540","16.28890","38.00280","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Africa","Angola","Both sexes","13.3 [8.3-20.1]","13.26960","8.28000","20.10630","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Africa","Angola","Both sexes","17.2 [10.7-26.3]","17.23850","10.66330","26.28400","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Africa","Angola","Female","5.4 [3.2-8.4]","5.37000","3.23000","8.35000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Africa","Angola","Female","6.8 [4.1-10.5]","6.78000","4.09000","10.52410","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Africa","Angola","Female","5.9 [3.6-9.1]","5.85000","3.56000","9.13000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Africa","Angola","Female","5.2 [3.2-8.1]","5.22000","3.15000","8.14000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Africa","Angola","Female","5.1 [3.0-8.1]","5.10000","3.02000","8.05000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Africa","Angola","Both sexes","17.5 [10.8-26.6]","17.46840","10.84390","26.55560","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Africa","Angola","Male","25.2 [16.2-37.7]","25.23940","16.20430","37.68270","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Africa","Angola","Both sexes","13.1 [8.3-19.8]","13.14310","8.27000","19.77790","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Africa","Angola","Male","22.8 [14.7-33.8]","22.83960","14.66430","33.76780","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Africa","Angola","Male","22.7 [14.4-34.0]","22.69380","14.35140","34.01120","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Africa","Angola","Male","23.9 [15.4-35.4]","23.92460","15.44450","35.44830","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Europe","Albania","Female","5.2 [4.0-6.7]","5.24000","4.01000","6.67000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Europe","Albania","Female","5.8 [4.4-7.6]","5.84000","4.38000","7.57000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Europe","Albania","Male","6.6 [4.1-8.7]","6.64000","4.06000","8.73000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Europe","Albania","Female","5.7 [4.3-7.2]","5.67000","4.33000","7.23000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Europe","Albania","Male","5.7 [2.9-8.8]","5.70000","2.87000","8.81000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Europe","Albania","Both sexes","7.8 [5.0-10.2]","7.83000","4.99000","10.24540","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Europe","Albania","Female","3.1 [2.3-3.9]","3.05000","2.33000","3.89000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Europe","Albania","Male","10.2 [5.4-14.0]","10.20880","5.41000","14.00190","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Europe","Albania","Both sexes","4.2 [2.3-6.3]","4.17000","2.28000","6.32000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Europe","Albania","Male","5.3 [2.7-8.3]","5.27000","2.69000","8.25000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Europe","Albania","Male","6.5 [3.4-9.7]","6.53000","3.35000","9.67000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Europe","Albania","Both sexes","8.1 [5.0-10.8]","8.09000","4.96000","10.77730","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Europe","Albania","Both sexes","4.8 [2.8-7.0]","4.82000","2.75000","6.96000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Europe","Albania","Female","5.9 [4.3-8.0]","5.92000","4.29000","7.97000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2006","Europe","Albania","Male","10.1 [5.7-13.4]","10.08020","5.69000","13.38120","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Europe","Albania","Both sexes","4.7 [3.2-6.2]","4.74000","3.24000","6.15000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2016","Europe","Albania","Female","2.7 [1.7-3.9]","2.68000","1.72000","3.89000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Europe","Albania","Male","7.3 [3.8-10.4]","7.26000","3.80000","10.39270","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Europe","Albania","Female","8.2 [5.8-11.3]","8.22000","5.77000","11.34270","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Europe","Albania","Female","5.8 [4.3-7.7]","5.84000","4.31000","7.69000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Europe","Albania","Both sexes","3.9 [2.2-6.0]","3.94000","2.18000","6.03000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Europe","Albania","Male","7.6 [5.1-10.1]","7.58000","5.08000","10.08410","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Europe","Albania","Male","6.5 [4.2-8.5]","6.49000","4.20000","8.53000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Europe","Albania","Both sexes","5.2 [3.6-6.9]","5.23000","3.64000","6.85000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Europe","Albania","Female","5.7 [4.3-7.3]","5.66000","4.29000","7.31000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Europe","Albania","Both sexes","7.7 [4.9-10.0]","7.68000","4.93000","9.99000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Europe","Albania","Both sexes","4.5 [2.5-6.7]","4.52000","2.51000","6.70000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Europe","Albania","Female","2.2 [1.4-3.3]","2.22000","1.44000","3.25000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Europe","Albania","Both sexes","7.6 [4.6-10.5]","7.63000","4.61000","10.51530","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Europe","Albania","Female","3.0 [2.3-3.9]","3.03000","2.31000","3.86000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Europe","Albania","Both sexes","4.8 [3.2-6.3]","4.82000","3.22000","6.26000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2011","Europe","Albania","Both sexes","7.6 [4.7-10.7]","7.63000","4.71000","10.71620","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Europe","Albania","Male","6.7 [4.0-8.8]","6.70000","3.95000","8.83000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Europe","Albania","Both sexes","4.1 [2.3-6.3]","4.11000","2.27000","6.30000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Europe","Albania","Both sexes","4.8 [2.7-7.1]","4.84000","2.74000","7.07000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2013","Europe","Albania","Female","3.2 [2.2-4.6]","3.23000","2.17000","4.60000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Europe","Albania","Male","5.6 [2.9-8.7]","5.55000","2.85000","8.68000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Europe","Albania","Female","2.5 [1.6-3.7]","2.54000","1.63000","3.71000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Europe","Albania","Male","6.2 [3.1-9.3]","6.18000","3.14000","9.28000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2019","Europe","Albania","Both sexes","3.7 [2.1-5.7]","3.72000","2.05000","5.72000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Europe","Albania","Both sexes","8.1 [5.0-10.6]","8.05000","5.00000","10.64500","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2002","Europe","Albania","Male","6.6 [4.1-8.7]","6.59000","4.14000","8.65000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Europe","Albania","Female","3.2 [2.5-4.1]","3.24000","2.47000","4.12000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Europe","Albania","Male","5.7 [2.9-8.7]","5.70000","2.87000","8.72000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2009","Europe","Albania","Both sexes","8.0 [4.8-10.8]","7.96000","4.82000","10.75330","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2003","Europe","Albania","Both sexes","4.9 [3.3-6.4]","4.94000","3.26000","6.43000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2017","Europe","Albania","Male","5.7 [2.9-9.0]","5.73000","2.92000","8.95000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Europe","Albania","Male","6.6 [3.4-9.6]","6.58000","3.42000","9.62000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2012","Europe","Albania","Female","3.2 [2.1-4.4]","3.15000","2.14000","4.43000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Europe","Albania","Female","2.8 [1.8-4.1]","2.81000","1.82000","4.09000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2000","Europe","Albania","Female","2.9 [2.2-3.7]","2.91000","2.23000","3.68000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2015","Europe","Albania","Both sexes","4.2 [2.3-6.4]","4.23000","2.33000","6.37000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2004","Europe","Albania","Both sexes","4.9 [3.1-6.3]","4.86000","3.13000","6.34000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2008","Europe","Albania","Male","10.5 [5.6-14.2]","10.47240","5.61000","14.15690","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2014","Europe","Albania","Female","2.9 [1.9-4.2]","2.91000","1.91000","4.19000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2010","Europe","Albania","Male","9.5 [5.0-13.2]","9.45000","5.01000","13.22240","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2005","Europe","Albania","Male","10.2 [5.9-13.4]","10.16900","5.87000","13.38850","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2007","Europe","Albania","Male","10.5 [5.8-14.1]","10.54730","5.77000","14.13310","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Europe","Albania","Female","3.0 [2.3-3.8]","2.96000","2.27000","3.75000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2018","Europe","Albania","Female","2.4 [1.5-3.5]","2.38000","1.53000","3.45000","","",""
"Age-standardized suicide rates (per 100 000 population)","Published","2001","Eastern Mediterranean","United Arab Emirates","Male","9.2 [5.4-14.2]","9.21000","5.41000","14.21030","","",""
